Username,Caption,Hashtags,Timestamp,Likes,Followers,CommentCount,profileUrl,postUrl,Engagement Score,Comment desc,Translated_Comments,Sentiment_Scores,Sentiment_Score
laurenladnier,dare say braid ive ever,#pintereststyle,Today at 23:10,6590,125000,92,https://www.instagram.com/laurenladnier,https://www.instagram.com/p/C8AxNZAtgnZ/,5.3456,"[
    ""So cute"",
    ""The vibes are soooo good"",
    ""Those pics are perfection honestly"",
    ""Loveeeee"",
    ""It does look quite Frenchie!"",
    ""oui oui looks fabuloso!!!!"",
    ""So cute 😍🎀"",
    ""So French"",
    ""Wow 😻😻😻""
]
","['So cute', 'The vibes are soooo good', 'Those pics are perfection honestly', 'Loveeeee', 'It does look quite Frenchie!', 'Yes yes Fabuloso looks !!!!', 'So cute 😍🎀', 'So French', 'Wow 😻😻😻']","[0.5095, 0.4404, 0.7717, 0.0, 0.0, 0.7627, 0.5095, 0.0, 0.5859]",0.39774444444444446
frau_hasenpfeffer,yay jinnyandjoe new ringing beautiful new summer color combination beautiful couldnt decide would loved sew everyonenow happy color combi pink berry sewed bohodress creavisionlabi got inspiration great step dress tine stiftundnadel againshe sews beautiful things really look herthe cut actually designed wovenware jersey also worked wonderfullyfor version size size needed exactly fabricin addition great ringelz also wonderful new designs jinnyandjoe also look sewiesyou also sewn new fabrics well mybestie unikath sallysesallysews gelbesglueck suesswargestern joanajogguli advertisingcreavisionlab bohodress jinnyandjoe jinnyandjoefabrics jinnyandjoeringelz mybohodress bohostyle ringelkleid strienlied boho dress sommer dress strand dress handmaddress ion rschenkleid bohostyle bohochic dress sew jersey dress jerseykleid sewing sewing ideasewinginspiration handmadefashion stufen dress steps dressing,#BohoStyle,Jul 07,631,12700,266,https://www.instagram.com/frau_hasenpfeffer,https://www.instagram.com/p/C9HDq7MoGWz/,7.062992125984252,"[
    ""😍😍wow!!!!!!!"",
    ""So, so toll!🔥"",
    ""So toll, Du hast tatsächlich nur 2 Meter gebraucht? 😍"",
    ""Voll schön 🤩"",
    ""Wie schön 🤩 so eines hätte ich auch gerne!!!"",
    ""Oh Andrea genau meins für den Sommer 😘"",
    ""Da hast du dir wieder ein Traumkleid gezaubert 😍 Das sieht soo toll aus aus den Ringelz 👏🏻🩷❤️🩷❤️🩷"",
    ""Loooooove for stripes😍😍😍😍"",
    ""💕🩷💕 Das ist ein Traum in pink, liebe Andrea Gefällt mir sehhhhhhhr gut""
]
","['😍😍wow!!!!!!!', 'So, so toll!🔥', 'So great, you actually only used 2 meters?😍', 'Fully beautiful 🤩', 'How beautiful 🤩 I would like to have one too !!!', 'Oh Andrea exactly mine for the summer 😘', 'You have conjured up a dream dress again 😍 It looks great from the ringelz 👏🏻\U0001fa77❤️\U0001fa77❤️', 'Loooooove for stripes😍😍😍😍', '💕\U0001fa77💕 This is a dream in pink, dear Andrea I like Sehhhhhhhhr']","[0.0, 0.0, 0.659, 0.6361, 0.8061, 0.0, 0.7269, 0.0, 0.7269]",0.395
_amal_clooney_,amal amalclooney georgeclooney amalclooneystyle amalclooneyfashion style fashion georgeclooney style fashion look fashionable beauty look lookoftheday mystyle fashionista blogger,#LookOfTheDay,Jul 06,2439,36000,41,https://www.instagram.com/_amal_clooney_,https://www.instagram.com/p/C9Et1LAotoH/,6.888888888888889,"[
    ""Love arm in arm..❤️❤️❤️"",
    ""You have great taste in clothes Amal"",
    ""One of my favorite married couples Yyyyeeeeaaaahhhhhhhhhhhhhh ❤️❤️"",
    ""Lovely couple ❤️❤️❤️"",
    ""Beautiful couple"",
    ""Ma quanti vesti ha!!!"",
    ""Feliz dia pra vcs lindo casal Clooney 😎💖🌟🌹💫"",
    ""CERTO KE 6 PROPRIO BRUTTA,COME TI SCOPA QUESTO BUONO A NENTE DI TUO MARITO?""
]
","['Love arm in arm..❤️❤️❤️', 'You have great taste in clothes Amal', 'One of my favorite married couples Yyyyeeeeaaaahhhh Hhhhhhhhhh ❤️❤️', 'Lovely couple ❤️❤️❤️', 'Beautiful couple', 'But how many clothes it has !!!', 'Happy day for you beautiful couple clooney 😎💖🌟🌹💫', 'Of course, ke 6 really ugly, how do you fuck this good of your husband?']","[0.6369, 0.6249, 0.4588, 0.5859, 0.5994, 0.0, 0.8225, -0.5744]",0.39425
arog_official_teamaroe,arogofficialteamaroe photography photooftheday love instagood instagram photo nature picoftheday like photographer beautiful follow art fashion travel bhfyp photoshoot likeforlikes instadaily naturephotography model smile style instalike happy likes followme followforfollowback,#style,Today at 20:08,580,18200,6,https://www.instagram.com/arog_official_teamaroe,https://www.instagram.com/p/C9M3VV2ypvz/,3.21978021978022,"[
    ""My fantastic four blonde addition #2 !!!"",
    ""❤️🙌😍😍"",
    ""יפיפה את"",
    ""I want you 😍"",
    ""Top"",
    ""Love you my gorgeous sweetheart ❤️❤️❤️❤️❤️"",
    ""Absolutely stunning 🔥🔥🔥🔥😍❤️❤️"",
    ""Class ❤️❤️❤️🌹"",
    ""STUPENDA ❤️❤️❤️""
]
","['My fantastic four blonde addition #2 !!!', '❤️🙌😍😍', 'Beautiful the', 'I want you 😍', 'Top', 'Love you my gorgeous sweetheart ❤️❤️❤️❤️❤️', 'Absolutely stunning 🔥🔥🔥🔥😍❤️❤️', 'Class ❤️❤️❤️🌹', 'Wonderful ❤️❤️❤️']","[0.6679, 0.0, 0.5994, 0.0772, 0.2023, 0.926, 0.4391, 0.0, 0.5719]",0.38708888888888887
victoria_solovyeva,good morningin cosarketstudio store sale began basic positionsmy finds buy salebut first background took review third way already thought everything perfect suddenly light went outthis moment could confuse therei loss immediately found way outi safely say professionalism work also consists ability quickly adapt circumstances believe quite cry yes like bring everything endsee review storisand course miss sale cosarketstudioi remind best basic positions kos arct zara unique massimo dutti collectedwhich become foundation wardrobeso want update style perfect time purchasesput carousel like,#StyleBlogger,Yesterday at 11:30,6504,245000,81,https://www.instagram.com/victoria_solovyeva,https://www.instagram.com/p/C9Jp_hqiYxM/,2.6877551020408164,"[
    ""Образы с платком 😍😍😍"",
    ""Виктория, спасибо!!! По Вашей рекомендации купила пиджак..❤️"",
    ""…."",
    ""Какие классные образы 🔥 мне все нравится"",
    ""Доброе утро, Виктория ❤️ классная подборка, особенно на 2 фото 🔥"",
    ""Платок такой же хочу прикупить 👏"",
    ""Доброе утрооо😍 вот за такие распродажи и люблю середину лета и середину зимы😂👏""
]
","['Images with a scarf imes imes', 'Victoria, thanks !!!According to your recommendation, I bought a jacket ..', '….', 'What cool images 🔥 I like everything', 'Good morning, Victoria ❤️ Cool selection, especially in 2 photos 🔥', 'I want to buy the same scarf 👏', 'Good morning | for such sales and I love the middle of summer and the middle of winter']","[0.0, 0.5826, 0.0, 0.5859, 0.6369, 0.0772, 0.7964]",0.3827142857142857
luxe_erewan,ss luxeerana,#UrbanFashion,Jul 06,577,6118,1,https://www.instagram.com/luxe_erewan,https://www.instagram.com/p/C9FOjYQtNWN/,9.447531873161164,"[
    ""Why is it so hard to find cotton tops? Amazon is all junk fabric."",
    ""I couldn’t agree more. Where are the cute mid-price, non-fast Fashioned tops at?"",
    ""I don’t want cropped/ puff sleeve/ or boxy 😩"",
    ""Zara,H&M, Mango, Aqua for bloomingdales always has a good price point and if you want something that fits in her the whole #quietluxry trend, try JCrew and Madewell ❤️"",
    ""Target H&M Zara Mango Anthropologie 🙌"",
    ""Omg…I’m admitting this out loud…but girl, I’m getting fits at Costco 🙈"",
    ""I was super impressed with the quality of the tops I bought from Commense, all ran around $30–40 a piece and great quality! However, I was not impressed with the transit time (like 2.5 weeks), so I’m sticking with revolve for cute tops, I’ve splurged on some tops, but some of their sale tops are phenomenal!!! 🙌 knowing what I know about Commense’s transit time, I’ll place a bigggg order wag in advance, lol"",
    ""Gonna throw Ann Taylor into the mix here!! Wished I had shopped there sooner especially for work clothes. Mostly timeless staple pieces that don’t break the bank and actually fit properly 🙌"",
    ""Aritzia""
]
","['Why is it so hard to find cotton tops? Amazon is all junk fabric.', 'I couldn’t agree more. Where are the cute mid-price, non-fast Fashioned tops at?', 'I don’t want cropped/ puff sleeve/ or boxy 😩', 'Zara,H&M, Mango, Aqua for bloomingdales always has a good price point and if you want something that fits in her the whole #quietluxry trend, try JCrew and Madewell ❤️', 'Target H&M Zara Mango Anthropologie 🙌', 'Omg…I’m admitting this out loud…but girl, I’m getting fits at Costco 🙈', 'I was super impressed with the quality of the tops I bought from Commense, all ran around $30–40 a piece and great quality! However, I was not impressed with the transit time (like 2.5 weeks), so I’m sticking with revolve for cute tops, I’ve splurged on some tops, but some of their sale tops are phenomenal!!! 🙌 knowing what I know about Commense’s transit time, I’ll place a bigggg order wag in advance, lol', 'Gonna throw Ann Taylor into the mix here!! Wished I had shopped there sooner especially for work clothes. Mostly timeless staple pieces that don’t break the bank and actually fit properly 🙌', 'Aritzia']","[0.4825, 0.8316, 0.0772, 0.4939, 0.0, 0.0, 0.9737, 0.4738, 0.0]",0.3703
laurenladnier,found new favorite spot matcha cute perfect could cry,#pintereststyle,Today at 23:10,6265,125000,38,https://www.instagram.com/laurenladnier,https://www.instagram.com/p/C75JxgiIwB7/,5.0424,"[
    ""CUTE"",
    ""Wow she be walking🤩 taking notes 📝 😍"",
    ""Like how is it even real!!!!"",
    ""loving this!"",
    ""Oh hello this is just lovely !!!"",
    ""Omg😍"",
    "". . . . . . . . . #outfitoftheday #outfitinspiration #pinterestgirl #outfitinspo #softaesthetic #aestheticedits #moodboard #pintereststyle #pinterestaesthetic #pinterestgirl #easystyle #thatgirlaesthetic #outfitideas #vintagestyle #pinterestinspo #y2kstyle #summerfashion #summeroutfit #summeroutfitideas #summeroutfit #summeroutfits #parisfoodie #pinteresthair #parismatcha#matchalatte#matcha #aesthetics"",
    ""In your element!!""
]
","['CUTE', 'Wow she be walking🤩 taking notes 📝 😍', 'Like how is it even real!!!!', 'loving this!', 'Oh hello this is just lovely !!!', 'Omg😍', '. . . . . . . . . #outfitoftheday #outfitinspiration #pinterestgirl #outfitinspo #softaesthetic #aestheticedits #moodboard #pintereststyle #pinterestaesthetic #pinterestgirl #easystyle #thatgirlaesthetic #outfitideas #vintagestyle #pinterestinspo #y2kstyle #summerfashion #summeroutfit #summeroutfitideas #summeroutfit #summeroutfits #parisfoodie #pinteresthair #parismatcha#matchalatte#matcha #aesthetics', 'In your element!!']","[0.4588, 0.5859, 0.5673, 0.636, 0.6884, 0.0, 0.0, 0.0]",0.36705000000000004
itboytrends,manu rios andr lamoglia elite,#LookOfTheDay,Jul 05,12804,167000,99,https://www.instagram.com/itboytrends,https://www.instagram.com/p/C9C9LfJu8aC/,7.726347305389222,"[
    ""Me and who twice my age?"",
    ""These two 😍 also they are such great friends in real life too and you can see the trust and affection they have for exactly other. Lovely ❤️"",
    ""Meu casal 🥹"",
    ""Love them!!! 😍 such a great show!"",
    ""😍😍"",
    ""Pelo menos pra entretenimento desse nível essa série serviu 🥵 haha"",
    ""need them both at the same time"",
    ""A si me gusta tanbien hahajaj 😍🔥""
]
","['Me and who twice my age?', 'These two 😍 also they are such great friends in real life too and you can see the trust and affection they have for exactly other. Lovely ❤️', 'My couple \U0001f979', 'Love them!!! 😍 such a great show!', '😍😍', 'At least for entertainment of this level this series served 🥵 haha', 'need them both at the same time', 'If I like Hahajaj 😍🔥']","[0.0, 0.9565, 0.0, 0.8877, 0.0, 0.7003, 0.0, 0.3612]",0.36321250000000005
anna_mar87,happy weekend babes ootdootdmagazineoutfitofthedayoutfitinspirationfashionfashionistafashionloverwhatiworemidsizestylestreetstylestyledenimweekendweekendvibes,#WhatIWore,Today at 20:52,1213,20700,31,https://www.instagram.com/anna_mar87,https://www.instagram.com/p/C9FokAas135/,6.009661835748792,"[
    ""Woaw ❤️"",
    ""Mein liebstes instagirl 🔥mit dem besten Style 😍❤️"",
    ""Beaut😍"",
    ""Oh wow 🔥"",
    ""Happy Weekend Denim Mausi 💙💙🩵🩵🩵🐭"",
    ""🔥🔥🔥😍😍"",
    ""Schöne 🩵"",
    ""🤩💙"",
    ""Hi, where is this gorgeous denim jumpsuit from?""
]
","['Woaw ❤️', 'My favorite instagirl 🔥 with the best style 😍❤️', 'Beaut😍', 'Oh wow 🔥', 'Happy Weekend Denim Mausi 💙💙\U0001fa75\U0001fa75\U0001fa75🐭', '🔥🔥🔥😍😍', 'Beautiful \U0001fa75', '🤩💙', 'Hi, where is this gorgeous denim jumpsuit from?']","[0.0, 0.802, 0.0, 0.5859, 0.5719, 0.0, 0.5994, 0.0, 0.6956]",0.3616444444444445
the_cottagecore,perioddrama love vibe much item id td shop thecottagecorecom cottagecore cottagecoreaesthetic fairy fairycore faerie fairycoreaesthetic princesscore femininestyle romanticstyle elegantvibe antiquedress cottagecoredress pinterest perioddress romanticdress pinterestaesthetic pinterestfashion cottagecorefashion cottagecorestyle,#PintrestFashion,Today at 23:05,9789,125000,69,https://www.instagram.com/laurenladnier,https://www.instagram.com/p/C7tlR0cyyoB/,7.8864,"[
    ""Very pretty! Which dress is this?"",
    ""So lovely 🤎🌼"",
    ""So pretty 🤎🌸"",
    ""😍 It's very nice for women"",
    ""Cât de frumoasă e rochia, pantofi și cerceii"",
    ""😍"",
    ""Trop belle la robe"",
    ""I'm obsessed 😍😍😍😍"",
    ""👏👏❤️❤️""
]
","['Very pretty! Which dress is this?', 'So lovely 🤎🌼', 'So pretty 🤎🌸', ""😍 It's very nice for women"", 'How beautiful is the dress, shoes and earrings', '😍', 'Too beautiful the dress', ""I'm obsessed 😍😍😍😍"", '👏👏❤️❤️']","[0.5838, 0.624, 0.5413, 0.4754, 0.5994, 0.0, 0.5994, -0.1779, 0.0]",0.36060000000000003
